trial,score,anchor_dominance_penalty,average_alpha,cheek_edge_overlap,edge_overlap_face,eligible,face_luma_mae,failed_gates,gray_slab_penalty,lane_clutter_penalty,lane_words,lower_face_brightness_penalty,mouth_banding_penalty,nose_bridge_edge_overlap,protected_dark_zone_fill_ratio,total_words_drawn,anchor_size_scale,anchor_alpha_scale,lane_word_spacing,lane_word_count_multiplier,contour_alpha_min,contour_alpha_max,tone_alpha_min,tone_alpha_max,shadow_alpha_min,shadow_alpha_max,dark_zone_suppression,luma_modulation_strength,cheek_lane_multiplier,nose_lane_multiplier,jitter_strength,structure_layer_opacity
23,-6.611589360138997,0.09052548051307249,93.31731731731732,0.11153358681875793,0.2073482428115016,False,36.9590950012207,"lane_words,gray_slab_penalty,mouth_banding_penalty",0.3361987753179463,2.2962511000399024,446,0.32022247314453123,1.0,0.13051146384479717,0.07489705288655632,3996,0.7816407043424907,0.7226264073978861,9.827375579587931,1.9201672809344499,151,207,72,148,43,85,0.4864575428720918,0.34787565411871846,1.5435258815678963,2.236774211817535,2.1992745528884807,0.8098931852128288
24,-4.864316281267463,0.012158986542938795,93.04550379198267,0.07647058823529412,0.1726027397260274,False,38.88124084472656,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.33574737007379496,0.49516487873077186,160,0.39803003583635604,1.0,0.08925619834710743,0.09257973354864756,3692,0.6754424768136053,0.7369306195670096,12.01877849022286,1.1009025161834507,152,221,89,165,36,64,0.5400108886993409,0.3412638343595149,1.2593417553552921,2.107363015550376,4.286420810337736,0.9733303377905356
25,-5.547661554253915,0.10586706927971241,93.5460509052742,0.11311053984575835,0.21498268807050677,False,35.48412322998047,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.31627806563039723,1.3398650832529104,265,0.33287021092006136,1.0,0.12305025996533796,0.12145337101332257,3811,0.7871761516349173,0.8222748576224373,9.216490393117446,1.318336758154098,133,192,79,144,29,70,0.6920546198537466,0.37315557137460365,1.2754536187609966,1.7133474615025124,1.715056719654266,0.7836214387307628
26,-6.839254451789904,0.1548979577028251,109.11200414830179,0.097911227154047,0.16946564885496182,False,37.52582550048828,"protected_dark_zone_fill_ratio,lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3450306170513424,1.893083351915909,348,0.4030553000313895,1.0,0.12199630314232902,0.12876867178037948,3857,0.8319226599874582,0.8335546641621621,11.281126706198458,1.4736991782102116,123,230,83,177,30,91,0.6626571932393478,0.3496512911349573,2.6081246604494215,2.1237520646063714,3.2120540204207177,0.9455200715078595
27,-5.8862391346135485,0.018637698015337423,90.44508975712777,0.08489388264669163,0.1524186188013386,False,39.031211853027344,"protected_dark_zone_fill_ratio,lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3261501020568378,1.2919703567652978,269,0.39238504682268416,1.0,0.09358752166377816,0.10751715785224061,3788,0.6737954364712866,0.8602922926448353,12.75177551252634,1.7665041954263097,150,200,76,144,29,64,0.6464167267644544,0.3345776558555934,1.2196298393425604,1.8195003201735205,2.2395985783937133,0.9679075836637233
28,-9.27976757839936,0.07264423684925225,107.89438254410399,0.14106145251396648,0.20192,False,36.75727081298828,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.34826895902025434,4.231587276191961,804,0.387708990914481,1.0,0.14455445544554454,0.11882115462252725,4308,0.7437682669542725,0.6675245826629594,8.289956886520573,2.262458078386011,120,228,98,158,37,80,0.6459806191272925,0.3735002268348073,2.6717617675750542,2.4644329218959173,2.5870361231508077,0.8889240619452994
29,-7.540866642694548,0.07165947270544766,97.00650602409638,0.15415549597855227,0.2363576594345825,False,34.84873580932617,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.32713141780499294,3.2663598954197153,625,0.3245476858956473,1.0,0.16129032258064516,0.10202664513524425,4150,0.735517218077645,0.859389607472294,9.257518087243593,2.11310997747825,128,198,93,154,36,72,0.5509362310216309,0.3920051056761826,2.5197281207256785,2.360862705656607,2.4305395498419626,0.782189823186553
30,-6.020182691540435,0.09462002616362838,103.20741304899721,0.14487179487179488,0.22458554895214264,False,32.539955139160156,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty",0.29555267702936094,2.3694267184482256,433,0.26385176522391185,0.8550497641823509,0.15026833631484796,0.12408558740411789,3939,0.7876869651006209,0.6512937273871986,11.097286182215154,2.1755214084581445,145,205,97,147,34,92,0.6594925992275747,0.3929398162657679,1.334320946925963,2.147080352660357,3.080496607267599,0.6341305581369311
31,-6.158400456502464,0.13437339975826626,96.18963757018888,0.17086092715231788,0.2847972972972973,False,32.48444747924805,"protected_dark_zone_fill_ratio,lane_words,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.312215418433035,2.4766068661482046,455,0.3071164812360491,0.9341761036265981,0.18878504672897195,0.11442874444893016,3918,0.802300462990504,0.7988583215086384,10.746649704949737,1.8840889966370529,129,236,85,160,26,75,0.5518280452978686,0.45421149724414817,2.080420416238039,2.0927259684591144,2.6928492139172784,0.7277546024126504
32,-5.805119572647943,0.0,94.63207547169812,0.07151230949589683,0.11752815477909327,False,40.17398452758789,"face_luma_mae,gray_slab_penalty,mouth_banding_penalty",0.3436960276338515,1.2118518814837769,259,0.3522244589669364,1.0,0.07605177993527508,0.0843601130399677,3816,0.5903089507257105,0.6344378979682602,10.817207676579795,1.0416718290151927,137,240,92,141,35,83,0.6054639458008733,0.24754384839221577,2.053426902564812,2.482898489652733,4.3776883340890995,0.8912728931522464
33,-8.400046395820803,0.14131857845667758,103.91267123287672,0.07097591888466413,0.12643678160919541,False,40.53683090209961,"lane_words,face_luma_mae,gray_slab_penalty,mouth_banding_penalty,anchor_dominance_penalty",0.3763542157324541,2.9519150639802385,534,0.4011730194091797,1.0,0.08617594254937164,0.09018974566007266,4088,0.8300878431734284,0.6466510141650368,9.11833066381794,2.2021340118754553,133,200,97,171,37,75,0.5904101668165733,0.2537853812538403,1.722624523150919,1.98796251752837,4.113044455145361,0.9238719355166394
